arquivo,categoria,qualidade,orientacao_real,uso,descricao,flags
VID-20260822-WA0013.mp4,envelopamento,4,retrato,bloco-servico,Mao segurando canto de manta/vinil branco opaco sobre mesa video curto,muito-curto;vertical
VID-20260822-WA0014.mp4,envelopamento,5,retrato,bloco-servico,Mao com espatula azul aplicando vinil branco opaco sobre mesa video curto,muito-curto;vertical
VID-20260822-WA0015.mp4,envelopamento,4,retrato,bloco-servico,Instalador descolando o papel de protecao de manta branca video curto,muito-curto;vertical
VID-20260822-WA0016.mp4,pelicula-arquitetonica,4,retrato,bloco-servico,Painel de vidro com solucao de aplicacao borrifada cena ao ar livre,vertical
VID-20260822-WA0017.mp4,envelopamento,4,retrato,bloco-servico,Mao descolando papel de manta branca sobre mesa dobravel ao ar livre,vertical
VID-20260822-WA0018.mp4,envelopamento,5,retrato,bloco-servico,Instalador levantando pelicula/PPF transparente molhada de um painel,vertical
VID-20260822-WA0019.mp4,envelopamento,5,retrato,bloco-servico,Mao com espatula rosa fazendo acabamento na borda de painel branco,vertical
VID-20260827-WA0078.mp4,pelicula-arquitetonica,5,retrato,galeria,Corredor interno com porta de vidro fosco decorativo e parede de metro preto,vertical
VID-20260828-WA0010.mp4,outro,1,retrato,descartar,Imagem muito tremula de porta de madeira mao segurando ferramenta,tremido;vertical
VID-20260828-WA0012.mp4,pelicula-arquitetonica,5,retrato,galeria,Corredor com porta de madeira e divisoria de vidro fosco com friso laranja,vertical
